Jar number,Nutrient ,Temp,Protist,Spec
1,Half,22,Yes,0.016
2,Half,22,Yes,0.01
3,Half,22,Yes,0.012
4,Half,22,Yes,0.008
5,Half,22,Yes,0.006
6,Half,22,Yes,0.004
7,Half,22,Yes,0.006
8,Half,22,Yes,0.012
9,Half,22,Yes,0.012
10,Half,22,Yes,0.011
11,Half,22,Yes,0.007
12,Half,22,Yes,0.013
13,Half,22,Yes,0.012
14,Half,22,Yes,0.007
15,Half,22,Yes,0.039
16,Half,22,Yes,0.027
17,Half,22,Yes,0.004
18,Half,22,Yes,0.006
19,Half,22,Yes,0.011
20,Half,22,Yes,0.021
21,Half,22,No,0.004
22,Half,22,No,0.015
23,Half,22,No,0.007
24,Half,22,No,0.005
25,Half,22,No,0.002
26,Half,22,No,0.004
27,Half,22,No,0
28,Half,22,No,0.001
29,Half,22,No,0.003
30,Half,22,No,0.011
31,Half,25,Yes,0.03
32,Half,25,Yes,0.002
33,Half,25,Yes,0.012
34,Half,25,Yes,0.006
35,Half,25,Yes,0.005
36,Half,25,Yes,0.01
37,Half,25,Yes,0.006
38,Half,25,Yes,0.027
39,Half,25,Yes,0.013
40,Half,25,Yes,0.012
41,Half,25,Yes,0.004
42,Half,25,Yes,0.007
43,Half,25,Yes,0.025
44,Half,25,Yes,0.016
45,Half,25,Yes,0.047
46,Half,25,Yes,0.025
47,Half,25,Yes,0.027
48,Half,25,Yes,0.034
49,Half,25,Yes,0.006
50,Half,25,Yes,0.012
51,Half,25,No,0.001
52,Half,25,No,0.004
53,Half,25,No,0.002
54,Half,25,No,0
55,Half,25,No,0
56,Half,25,No,0.001
57,Half,25,No,0
58,Half,25,No,0.002
59,Half,25,No,0.007
60,Half,25,No,0.002
61,Full,22,Yes,0.037
62,Full,22,Yes,0.002
63,Full,22,Yes,0.054
64,Full,22,Yes,0.073
65,Full,22,Yes,0.022
66,Full,22,Yes,0.017
67,Full,22,Yes,0.005
68,Full,22,Yes,0.039
69,Full,22,Yes,0.079
70,Full,22,Yes,0.014
71,Full,22,Yes,0.014
72,Full,22,Yes,0.081
73,Full,22,Yes,0.005
74,Full,22,Yes,0.077
75,Full,22,Yes,0.054
76,Full,22,Yes,0.048
77,Full,22,Yes,0.002
78,Full,22,Yes,0.057
79,Full,22,Yes,0.03
80,Full,22,Yes,0
81,Full,22,No,0.026
82,Full,22,No,0.019
83,Full,22,No,0.035
84,Full,22,No,0.007
85,Full,22,No,0.019
86,Full,22,No,0.001
87,Full,22,No,0.002
88,Full,22,No,0.008
89,Full,22,No,0.002
90,Full,22,No,0.006
91,Full,25,Yes,0.03
92,Full,25,Yes,0.005
93,Full,25,Yes,0.012
94,Full,25,Yes,0.004
95,Full,25,Yes,0.009
96,Full,25,Yes,0.014
97,Full,25,Yes,0
98,Full,25,Yes,0.004
99,Full,25,Yes,0.017
100,Full,25,Yes,0.002
101,Full,25,Yes,0.003
102,Full,25,Yes,0.01
103,Full,25,Yes,0.003
104,Full,25,Yes,0.001
105,Full,25,Yes,0.006
106,Full,25,Yes,0.003
107,Full,25,Yes,0.008
108,Full,25,Yes,0.002
109,Full,25,Yes,0.003
110,Full,25,Yes,0.011
111,Full,25,No,0.038
112,Full,25,No,0.005
113,Full,25,No,0.006
114,Full,25,No,0.006
115,Full,25,No,0.005
116,Full,25,No,0.012
117,Full,25,No,0.003
118,Full,25,No,0.024
119,Full,25,No,0.018
120,Full,25,No,0.009
